id,name,gender,culture,born,died,titles,aliases
694,Maegor I,Male,,12 AC,"48 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm, Hand of the King, Ser",Maegor the Cruel
695,Maekar I,Male,,"or between 174 AC and 178 AC, at King's Landing","233 AC, at Starpike","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm, Prince of Summerhall",The Anvil
696,Maelor Targaryen,Male,,"In 127 AC, at King's Landing","In 130 AC, at Bitterbridge",Prince,
697,Maelys I Blackfyre,Male,Valyrian,,"In 260 AC, at Stepstones",,Maelys the Monstrous
698,Maldon Massey,Male,First Men,,,Lord of Stonedance,
699,Mallador Locke,Male,,,"In 299 AC, at Fist of the First Men",Ser,
700,Malwyn Frey,Male,,In 284 AC,,,
701,Mandon Moore,Male,Valemen,,"In 299 AC, at the Blackwater Rush",Ser,
702,Manfred Dondarrion,Male,,,,Ser,
703,Manfred Lothston,Male,,,,,
704,Manfred Swann,Male,,,,Ser,
705,Manfrey Martell,Male,Dornish,,,"Ser, Castellan of Sunspear",
706,Manfryd Lothston,Male,,,,,Manfryd o' the Black Hood
707,Manfryd Yew,Male,,,,Ser,
708,Margot Lannister,Female,,,,Lady of Starpike,
709,Mariah Martell,Female,Dornish,,,Princess,Myriah Martell
710,Maric Seaworth,Male,,,"In 299 AC, at Blackwater Rush",Oarmaster,
711,Marissa Frey,Female,,In 286 AC,,,
712,Mariya Darry,Female,,,,,
713,Mark Mullendore,Male,,,,Ser,
714,Mark Ryswell,Male,Northmen,,"In 283 AC, at the Tower of Joy",Ser,
715,Marlon Manderly,Male,,At White Harbor,,"Ser, Commander of the garrison at White Harbor",
716,Marna Locke,Female,Northmen,,,Lady of Winterfell,
717,Maron Botley,Male,,,,,Fishwhiskers
718,Maron Greyjoy,Male,Ironborn,In 275 AC or before,"In 289 AC, at Pyke",,
719,Maron Nymeros Martell,Male,Dornish,,,Prince of Dorne,
720,Maron Volmark,Male,Ironborn,In 283 AC or 284 AC,,"Lord of Volmark, Lord of Greenshield",
721,Marq Piper,Male,Rivermen,At Pinkmaiden Castle,,Ser,
722,Marq Rankenfell,Male,,,,Lord Commander of the Night's Watch,Mad Marq Rankenfell
723,Marsella Waynwood,Female,,,,,
724,Martyn Cassel,Male,Northmen,,"In 284 AC, at the Tower of Joy",,
725,Martyn Lannister,Male,,In or between 285 AC and 287 AC,,,
726,Martyn Mullendore,Male,,,,Lord of Uplands,
727,Marwyn Belmore,Male,,,,Ser,Ser Ding-Dong
728,Mary Mertyns,Female,Westeros,,,Lady of Mistwood,
729,Matarys Targaryen,Male,,In 184 AC or later,"In 209 AC, at King's Landing",Prince,The Even Younger Prince
730,Mathis Frey,Male,,In 294 AC,,,
731,Mathis Rowan,Male,Reach,,,"Lord of Goldengrove, Marshall of the Northmarch",
732,Maynard Plumm,Male,,,,Ser,
733,Medgar Tully,Male,Rivermen,,In or between 209 AC and 211 AC,"Lord Paramount of the Trident, Lord of Riverrun",
734,Medger Cerwyn,Male,Northmen,At Cerwyn,"In 299 AC, at Harrenhal",Lord of Cerwyn,
735,Meera Reed,Female,Crannogmen,"In 283 AC, at Greywater Watch",,,
736,Megga Tyrell,Female,,In 286 AC (roughly),,,
737,Melantha Blackwood,Female,,,,Lady of Winterfell,
738,Melara Crane,Female,,,,,
739,Melara Hetherspoon,Female,,In 264 AC or 265 AC,In 276 AC,,
740,Meldred Merlyn,Male,Ironborn,,,Lord of Pebbleton,The Merlyn
741,Melesa Crakehall,Female,,,,,
742,Melessa Florent,Female,,,,,
743,Melisandre,Female,Asshai,At Unknown,,,"The Red Priestess, The Red Woman, The King's Red Shadow, Lady Red, Lot Seven"
744,Melissa Blackwood,Female,,In or between 156 AC and 160 AC,,,Missy
745,Melwyn Sarsfield,Male,,,,Ser,
746,Meredyth Crane,Female,,At Red Lake,,,Merry
747,Merianne Frey,Female,,In 288 AC,,,Merry Frey
748,Merlon Crakehall,Male,,,,Ser,
749,Mern IX Gardener,Male,,,", at the Field of Fire","King of the Reach, Lord of Highgarden",
750,Merrell Florent,Male,,,,,
751,Merrett Frey,Male,Rivermen,In 262 AC,"In 300 AC, at Near Oldstones",,Merrett Muttonhead
752,Meryn Trant,Male,,,,Ser,
753,Michael Mertyns,Male,,,,Ser,The White Owl
754,Mina Tyrell,Female,,,,,
755,Minisa Whent,Female,Rivermen,,At Riverrun,Lady of Riverrun,
756,Monford Velaryon,Male,Valyrian,,"In 299 AC, at Blackwater Rush","Lord of the Tides, Master of Driftmark",
757,Monterys Velaryon,Male,,In 293 AC,,"Lord of the Tides, Master of Driftmark",
758,Moqorro,Male,,At Volantis,,Slave of R'hllor,Black Flame
759,Morgil Hastwyck,Male,,,,Ser,
760,Moribald Chester,Male,,,,Lord of Greenshield,
761,Morros Slynt,Male,,,,Lord,
762,Mors Manwoody,Male,,,,,
763,Mors Martell,Male,,In 248 AC or 257 AC,In 248 AC or 258 AC,,
764,Mors Umber,Male,Northmen,"In 235 AC or before, at Last Hearth",,Castellan of Last Hearth,Mors Crowfood
765,Morya Frey,Female,,In 268 AC or 269 AC,,Lady,
766,Moryn Tyrell,Male,,,,"Ser, Lord Commander of the City Watch of Oldtown",
767,Murmison,Male,,,"In 41 AC, at King's Landing","Septon, Hand of the King",
768,Mychel Redfort,Male,Valemen,,,Ser,
769,Mylenda Caron,Female,,In or between 258 AC and 265 AC,,,
770,Myles Manwoody,Male,,,,Ser,
771,Myles Mooton,Male,,,"In 283 AC, at Stoney Sept",Ser,
772,Myles Smallwood,Male,,,,Hand of the King,
773,Myranda Lefford,Female,,,,,
774,Myranda Royce,Female,,In 279 AC (roughly),,,Randa
775,Myrcella Baratheon,Female,,"In 290 AC, at King's Landing",,Princess,
776,Myria Jordayne,Female,,,,,
777,Myriame Manderly,Female,Northmen,,,Lady of Winterfell,
778,Myrielle Lannister,Female,,,,,
779,Naerys Targaryen,Female,Valyrian,"In 138 AC, at King's Landing","In or between 179 AC and 184 AC, at King's Landing","Princess, Queen",
780,Norbert Vance,Male,,,,Lord of Atranta,
781,Nymella Toland,Female,Dornish,,,Lady of Ghost Hill,
782,Nymeria,Female,Rhoynar,,,"Princess, Queen",Nymeria of the Rhoyne
783,Olene Tyrell,Female,,,,,
784,Olenna Redwyne,Female,,"In 228 AC, at Arbor",,Dowager Lady of Highgarden,The Queen of Thorns
785,Olymer Tyrell,Male,,,,Ser,
786,Olyvar Frey,Male,,In 281 AC,,,
787,Olyvar Oakheart,Male,,,In 161 AC,Ser,The Green Oak
788,Ondrew Locke,Male,Northmen,,,Lord of Oldcastle,
789,Orbert Caswell,Male,,,At Castle Black,Lord Commander of the Night's Watch,The Black Centaur
790,Orivel,Male,,,,Ser,Orivel the Open-Handed
791,Ormond Osgrey,Male,,,,Lord of Coldmoat,
792,Ormond Westerling,Male,,,,Ser,
793,Ormond Yronwood,Male,,,At Yronwood,"Lord of Yronwood, Warden of the Stoneway, The Bloodroyal",
794,Ormund Baratheon,Male,,,"In 260 AC, at Stepstones","Lord Paramount of the Stormlands, Lord of Storm's End, Hand of the King",
795,Ormund Wylde,Male,,,,Ser,
796,Orton Merryweather,Male,,,,"Lord of Longtable, Justiciar, Master of laws, Hand of the King",
797,Orys Baratheon,Male,,At Dragonstone (possibly),In 38 AC,"Lord of Storm's End, Lord Paramount of the Stormlands, Hand of the King",Orys One-Hand
798,Osbert Serry,Male,,,,Lord of Southshield,
799,Osfryd Kettleblack,Male,,,,"Ser, Commander of the City Watch of King's Landing",
800,Osmund Frey,Male,,In 297 AC,,,
801,Osmund Kettleblack,Male,,,,Ser,Oswald Kettleblack
802,Osney Kettleblack,Male,,,,Ser,
803,Ossifer Plumm,Male,,,In 176 AC,Lord,
804,Oswell Kettleblack,Male,,,,,Kettleblack
805,Oswell Whent,Male,Rivermen,,"In 283 AC, at Tower of Joy",Ser,
806,Othell Yarwyck,Male,,,,First Builder,
807,Otho Bracken,Male,,,,Ser,The Brute of Bracken
808,Otto Hightower,Male,,,"In 130 AC, at King's Landing","Ser, Hand of the King",
809,Ottyn Wythers,Male,,In 230 AC (roughly),"In 299 AC, at Fist of the First Men, Beyond the Wall",Ser,
810,Owen Inchfield,Male,,,,Ser,
811,Owen Norrey,Male,Northern mountain clans,,"In 299 AC, at the Twins",,
812,Parmen Crane,Male,,At Red Lake,,Ser,Parmen the Purple
813,Pate,Male,First Men,,,,Pate the Plowman
814,Patrek Mallister,Male,,,,,
815,Paxter Redwyne,Male,,,,"Lord of the Arbor, Grand admiral, Lord Admiral, Master of ships",
816,Pearse Caron,Male,,,,"Lord of Nightsong, Lord of the Marches",
817,Perra Frey,Female,,In 294 AC,,,
818,Perra Royce,Female,,In 221 AC or before,In or between 241 AC and 249 AC,,
819,Perriane Frey,Female,,In or between 241 AC and 248 AC,,,
820,Perwyn Frey,Male,,In or between 270 AC and 278 AC,,Ser,
821,Perwyn Osgrey,Male,,,,Lord of Coldmoat,Perwyn the Proud
822,Peter Plumm,Male,,,,Ser,
823,Petyr Baelish,Male,Valemen,"In 268 AC, at the Fingers",,"Master of coin (formerly), Lord Paramount of the Trident, Lord of Harrenhal, Lord Protector of the Vale",Littlefinger
824,Petyr Frey,Male,,"In 281 AC, at Twins","In 300 AC, at Oldstones",,Petyr Pimple
825,Philip Foote,Male,,,,"Ser, Lord of Nightsong, Lord of the Marches",
826,Philip Plumm,Male,,,,Lord,
827,Podrick Payne,Male,,In 286 AC or 287 AC,,,Pod
828,Preston Greenfield,Male,Westerman,,"In 299 AC, at King's Landing",Ser,
829,Pypar,Male,,,,,"Pyp, Monkey, Mummer's Monkey"
830,Qarl Kenning,Male,Ironborn,,,,Queer Qarl Kenning
831,Qarlton Chelsted,Male,,,"In 283 AC, at King's Landing","Lord, Master of Coin, Hand of the King",The mace-and-dagger Hand
832,Qhorin,Male,,,"In 299 AC, at Skirling Pass",,Qhorin Halfhand
833,Qhorwyn Hoare,Male,,,,King of the Iron Islands,Qhorwyn the Cunning
834,Qorgyle,Male,,,"In 288 AC, at Castle Black",Lord Commander of the Night's Watch,
835,Quellon Botley,Male,Ironborn,,,,
836,Quellon Greyjoy,Male,Ironborn,,"In 283 AC, at the mouth of the Mander","Lord of the Iron Islands, Lord Reaper of Pyke",
837,Quenten Banefort,Male,,,,Lord of Banefort,
838,Quentin Tyrell,Male,,,At Ashford,Ser,
839,Quenton Greyjoy,Male,Ironborn,,,,
840,Quenton Hightower,Male,,,At Oldtown,"Lord of the Hightower, Lord of the Port, Voice of Oldtown, Defender of the Citadel, Beacon of the South",
841,Quenton Qoherys,Male,,,,"Lord of Harrenhal, Master-at-arms of Dragonstone",
842,Quentyn Ball,Male,,,At Near Redgrass Field,Ser,Fireball
843,Quentyn Blackwood,Male,,,"In 205 AC, at King's Landing",Lord,
844,Quentyn Martell,Male,Dornish,"In 281 AC, at Sunspear, Dorne","In 300 AC, at Meereen",Prince,"Frog, Prince Frog, The prince who came too late, The Dragonrider"
845,Quentyn Qorgyle,Male,,,,Lord of Sandstone,
846,Ralf Kenning,Male,Ironborn,,"In 300 AC, at Moat Cailin","Castellan, Commander",
847,Ralf Stonehouse,Male,Ironborn,,,Captain of Red Jester,Red Ralf Stonehouse
848,Ralph Buckler,Male,,,,Lord,
849,Ramsay Snow,Male,Northmen,In 282 AC or before,,"Lord of the Hornwood, Lord of Winterfell, Castellan of the Dreadfort","Ramsay Bolton, The Bastard of Bolton, The Bastard of the Dreadfort, Reek, Red Helm, Monster"
850,Randyll Tarly,Male,,,,"Lord of Horn Hill, Justiciar, Master of laws",
851,Ravella Swann,Female,,,,Lady of Acorn Hall,
852,Raymun Darry,Male,,,"In 298 AC, at Mummer's Ford",Lord of Darry,
853,Raymun Fossoway,Male,,,,Ser,
854,Raymund Frey,Male,,In 264 AC,,Ser,
855,Raymund Tyrell,Male,,,,,
856,Raynald Westerling,Male,,At Crag,"In 299 AC (supposedly), at the Twins",Ser,
857,Raynard Ruttiger,Male,,,,Ser,
858,Red Alyn,Male,,At the Rosewood,"In 300 AC, at Castle Black",,Red Alyn of the Rosewood
859,Redwyn,Male,,,,,
860,Regenard Estren,Male,,,,Lord of Wyndhall,
861,Renfred Rykker,Male,,,,Lord of Duskendale,
862,Renly Baratheon,Male,Stormlands,In 277 AC,"In 299 AC, at Storm's End","Lord Paramount of the Stormlands, Lord of Storm's End, Master of laws, Lord of the Seven Kingdoms (claimant)","The King in Highgarden, The King in the South"
863,Renly Norcross,Male,,In 296 AC or 297 AC,,,
864,Reynard Webber,Male,,,,Lord of Coldmoat,
865,Rhae Targaryen,Female,Valyrian,In or between 201 AC and 209 AC,,Princess,
866,Rhaegar Frey,Male,,In or between 269 AC and 273 AC,In 300 AC (suspected),,
867,Rhaegar Targaryen,Male,Valyrian,"In 259 AC, at Summerhall","In 283 AC, at the Trident","Prince of Dragonstone, Ser","Silver Prince, The Dragon Prince, The Last Dragon"
868,Rhaegel Targaryen,Male,Valyrian,In or between 173 AC and 177 AC,In 215 AC,Prince of Dragonstone,
869,Rhaella Targaryen,Female,Valyrian,"In 245 AC or 246 AC, at King's Landing","In 284 AC, at Dragonstone","Princess, Queen, Dowager Queen",
870,Rhaelle Targaryen,Female,,In or between 229 AC and 233 AC,,Princess,
871,Rhaena Targaryen,Female,,"In 116 AC, at Pentos",,Lady,Rhaena of Pentos
872,Rhaena Targaryen,Female,Valyrian,In 147 AC,,"Princess, Septa",
873,Rhaena Targaryen,Female,Valyrian,In 23 AC,,"Princess, Queen",Black Bride
874,Rhaenyra Targaryen,Female,Valyrian,In 97 AC,"In 130 AC, at Dragonstone","Princess of Dragonstone, Lady of the Seven Kingdoms (claimant)","The Realm's Delight, The Whore of Dragonstone, King Maegor with Teats, Maegor's Teats, The Half-Year Queen"
875,Rhaenys Targaryen,Female,Valyrian,In 74 AC,"In 129 AC, at Rook's Rest",Princess,The Queen Who Never Was
876,Rhaenys Targaryen,Female,,"In 280 AC, at Dragonstone","In 283 AC, at King's Landing",Princess,
877,Rhea Florent,Female,,,,,
878,Rhea Royce,Female,,,"In 115 AC, at The Vale",Lady of Runestone,Bronze Bitch
879,Rhialta Vance,Female,,,,,
880,Rhonda Rowan,Female,,,,,
881,Richard Horpe,Male,,,,Ser,The Slayer
882,Richard Lonmouth,Male,,,,Ser,The Knight of Skull and Kisses
883,Richard Morrigen,Male,,,,Ser,
884,Rickard Karstark,Male,Northmen,At Karhold,"In 299 AC, at Riverrun (executed)",Lord of Karhold,
885,Rickard Ryswell,Male,Northmen,,,,
886,Rickard Stark,Male,Northmen,,,King in the North,The Laughing Wolf
887,Rickard Stark,Male,Northmen,"In or between 230 AC and 249 AC, at Winterfell","In 282 AC, at King's Landing","Lord of Winterfell, Warden of the North",
888,Rickard Thorne,Male,,,"In 130 AC, at Bitterbridge",Ser,
889,Rickard Tyrell,Male,,,,,
890,Rickard Wylde,Male,,In 295 AC,,,
891,Rickon Stark,Male,Northmen,"In 295 AC, at Winterfell",,"Prince of Winterfell, Heir to Winterfell",
892,Robar Royce,Male,Valemen,"In 277 AC (roughly), at Runestone","In 299 AC, at Near Storm's End",Ser,Robar the Red
893,Robb Reyne,Male,,,,Ser,
894,Robert Arryn,Male,Valemen,In 292 AC,,"Lord of the Eyrie, Defender of the Vale, Warden of the East","Sweetrobin, True Warden of the East"
895,Robert Ashford,Male,Reach,At Ashford,,Ser,
896,Robert Brax,Male,,,"In 299 AC, at Riverlands",Ser,
897,Robert Brax,Male,,In 290 AC,,,
898,Robert Flowers,Male,,,,"Ser, Lord Commander of the Kingsguard",Red Robert Flowers
899,Robert Frey,Male,,In 286 AC,,,
900,Robert Frey,Male,,In 283 AC,,,
901,Robert I Baratheon,Male,,"262 AC, at Storm's End","298 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm, Ser","The Usurper, Demon of the Trident, The Whoremonger King"
902,Robert Paege,Male,,,,Ser,
903,Robett Glover,Male,Northmen,At Deepwood Motte,,,
904,Robin Greyjoy,Male,Ironborn,,At Pyke,,
905,Robin Hill,Male,,,,Lord Commander of the Night's Watch,
906,Robin Hollard,Male,,,,,
907,Robin Moreland,Male,,,,Lord,
908,Robin Peasebury,Male,,,,Lord of Poddingfield,Lord Pea Pord
909,Robin Ryger,Male,,In or between 237 AC and 240 AC (roughly),,"Ser, Captain of the guards at Riverrun",
910,Robyn Rhysling,Male,,,,Ser,
911,Robyn Ryswell,Male,Northmen,,,,
912,Rodrik Cassel,Male,Northmen,,"In 299 AC, at Winterfell","Ser, Master-at-arms of Winterfell, Castellan of Winterfell",Old Ser Rodrik
913,Rodrik Greyjoy,Male,Ironborn,In 274 AC or before,"In 289 AC, at Seagard",,
914,Rodrik Harlaw,Male,Ironborn,,,"Lord of Harlaw, Lord of the Ten Towers, The Harlaw of Harlaw, Captain of the Sea Song",The Reader
915,Rodrik Ryswell,Male,Northmen,,,Lord of the Rills,
916,Rodrik Stark,Male,Northmen,,,King in the North,
917,Rodrik Stark,Male,Northmen,,,,The Wandering Wolf
918,Rodwell Stark,Male,Northmen,,,"Lord of Winterfell, Warden of the North",
919,Roelle,Female,,,,Septa,
920,Rohanne,Female,Tyroshi,,In or after 211 AC,,
921,Roland Crakehall,Male,,,,Ser,
922,Roland Crakehall,Male,,,,Lord of Crakehall,
923,Rollam Westerling,Male,,"In 290 AC, at Crag",,,
924,Rolland Darklyn,Male,,,,Ser,
925,Rolland Storm,Male,,,,"Ser, Castellan of Dragonstone, Lord of Nightsong (claimant)",The Bastard of Nightsong
926,Rolland Uffering,Male,,,,Ser,
927,Rolph Spicer,Male,,,,"Ser, Castellan of the Crag, Lord of Castamere",
928,Ronald Connington,Male,,,,Ser the Knight of Griffin's Roost,
929,Ronald Vance,Male,,,,Ser,Ronald the Bad
930,Ronnel Harclay,Male,,,,,
931,Ronnel Stout,Male,Northmen,,,,
932,Ronnet Connington,Male,,In 274 AC,,Ser Knight of Griffin's Roost,Red Ronnet
933,Roose Bolton,Male,Northmen,"In 260 AC or before, at the Dreadfort",,"Lord of the Dreadfort, Warden of the North",The Leech Lord
934,Roose Ryswell,Male,Northmen,,,,
935,Roryn Drumm,Male,Ironborn,,,,Roryn the Reaver
936,Rosamund Lannister,Female,,,,,
937,Roslin Frey,Female,Rivermen,In 282 AC or 283 AC,,,
938,Rossart,Male,,,"In 283 AC, at King's Landing","Grand Master, Wisdom, Lord Hand of the King",
939,Royce Coldwater,Male,,,,Lord of Coldwater Burn,
940,Runcel Hightower,Male,,,,Lord Commander of the Night's Watch,
941,Rupert Brax,Male,,,"In 299 AC, at Oxcross",Ser,Rubert Brax
942,Rupert Crabb,Male,,,,Ser,
943,Russell Merryweather,Male,,"In 293 AC or 294 AC, at Longtable",,,
944,Ryam Florent,Male,,,,Ser,
945,Ryam Redwyne,Male,,,"In 105 AC, at King's Landing","Ser, Lord Commander of the Kingsguard, Hand of the King",
946,Rycherd Crane,Male,,,,Ser,
947,Ryella Frey,Female,,In 294 AC,,,
948,Ryella Royce,Female,,,,,
949,Rylene Florent,Female,,,,,
950,Ryman Frey,Male,,"In 246 AC, 247 AC or 248 AC","In 300 AC, at near the Twins",Ser,
951,Saera Targaryen,Female,Valyrian,In or between 61 AC and 82 AC,,Princess,
952,Sallei Paege,Female,,,,,
953,Samwell Spicer,Male,,,,Ser,
954,Samwell Tarly,Male,Andal,"In 283 AC, at Horn Hill",,,"Sam, Ser Piggy, Prince Pork-chop, Lady Piggy, Sam the Slayer, Black Sam, Lord of Ham"
955,Sandor Clegane,Male,,In 270 AC or 271 AC,In 300 AC (supposedly),,"The Hound, Dog"
956,Sandor Frey,Male,,In 287 AC,,,
957,Sansa Stark,Female,Northmen,"In 286 AC, at Winterfell",,Princess,"Little bird, Alayne Stone, Jonquil"
958,Sargon Botley,Male,Ironborn,,,,
959,Sarra Frey,Female,,In 285 AC,,,
960,Sarya Whent,Female,,,,Lady,
961,Sawane Botley,Male,Ironborn,,"In 299 AC, at Pyke","Lord of Lordsport, Captain of Swiftfin",
962,Sebastion Errol,Male,,,,Lord of Haystack Hall,
963,Sebaston Farman,Male,Westerman,,,Lord of Fair Isle,
964,Sefton Staunton,Male,,,,Septon,
965,Selmond Stackspear,Male,,,,Lord,
966,Selwyn Tarth,Male,,In 245 AC or 246 AC,,Lord of Evenfall,the Evenstar
967,Serala of Myr,Female,Myrish,In Myr,,Lady of Duskendale,The Lace Serpent
968,Serra Frey,Female,,In 285 AC,,,
969,Serwyn,Male,,,,Ser (in songs and tales),Serwyn of the Mirror Shield
970,Shadrich,Male,,,,Ser,"Shadrich of the Shady Glen, The Mad Mouse"
971,Shaera Targaryen,Female,Valyrian,In 226 AC,In or after 259AC,"Princess, Queen",
972,Shella Whent,Female,Rivermen,,In +/- 300 AC,Lady of Harrenhal,
973,Shiera Crakehall,Female,,,,,
974,Shierle Swyft,Female,,,,,
975,Shireen Baratheon,Female,,"In 289 AC, at Dragonstone",,Princess,
976,Shirei Frey,Female,,In 292 AC or 293 AC,,,
977,Shyra Errol,Female,,,,Lady of Haystack Hall,
978,Sigfry Stonetree,Male,Ironborn,,,,
979,Sigfryd Harlaw,Male,Ironborn,,,Master of Harlaw Hall,Sigfryd Silverhair
980,Sigorn,Male,Thenn,At Thenn,,Magnar of Thenn,
981,Simon Leygood,Male,,,,Ser,
982,Simon Staunton,Male,,,,Ser,
983,Simon Toyne,Male,,,"In 281 AC, at the Kingswood",,
984,Stafford Lannister,Male,Westerman,In or between 246 AC and 253 AC,"In 299 AC, at Oxcross",Ser,Uncle Dolt
985,Steffarion Sparr,Male,Ironborn,,,,
986,Steffon Baratheon,Male,,"In 246 AC, at Shipbreaker Bay",In 278 AC,"Lord of Storm's End, Lord Paramount of the Stormlands",
987,Steffon Darklyn,Male,,,"In 129 AC, at Dragonstone","Ser, Lord Commander of the Queensguard",
988,Steffon Fossoway,Male,,,,Ser,
989,Steffon Frey,Male,,In or between 263 AC and 280 AC,,,Steffon the Sweet
990,Steffon Hollard,Male,,,,Ser,
991,Steffon Stackspear,Male,,,,Ser,
992,Steffon Swyft,Male,,,,Ser,
993,Steffon Varner,Male,,,,Lord,
994,Stevron Frey,Male,,"In 233 AC or 234 AC, at Twins","In 299 AC, at Oxcross",Ser,
995,Stonesnake,Male,,In or between 250 AC and 253 AC,,,
996,Sumner Crakehall,Male,,,,Lord of Crakehall,
997,Sybell Spicer,Female,,,,Lady of the Crag,
998,Sybelle Glover,Female,Northmen,,,Lady of Deepwood Motte,
999,Sylva Santagar,Female,Dornish,"In 276 AC or 277 AC, at Spottswood",,Lady of Greenstone,Spotted Sylva
1000,Sylwa Paege,Female,,,,,
1001,Symon Hollard,Male,,,At Duskendale,"Ser, Master-at-arms at the Dun Fort",
1002,Symon Santagar,Male,,,,"Ser, Knight of Spottswood",
1003,Symond Botley,Male,Ironborn,,,,
1004,Symond Frey,Male,,"In or between 252 AC and 260 AC, at the Twins","In 300 AC (suspected), at The North",,
1005,Symond Templeton,Male,,,,"Ser, The Knight of Ninestars",
1006,Taena of Myr,Female,Myrish,In 276 AC (roughly),,,"Taena Merryweather, Myr"
1007,Talbert Serry,Male,,,"In 300 AC, at near the Shield Islands, the Reach",Ser,
1008,Talla Tarly,Female,,,,,
1009,Tallad,Male,,,,Ser,Tallad the Tall
1010,Tanda Stokeworth,Female,,At Stokeworth,"In 300 AC, at Stokeworth",Lady of Stokeworth,
1011,Tanton Fossoway,Male,,,,Ser,
1012,Terrance Lynderly,Male,,,,,
1013,Terrence Kenning,Male,,,,Lord of Kayce,
1014,Terrence Toyne,Male,,,In 178 AC,Ser,
1015,The Sparr,Female,Ironborn,,,The Sparr,
1016,The Stonehouse,Female,Ironborn,,,Lord Stonehouse,
1017,Theo Wull,Male,Northern mountain clans,,"In 283 AC, at Tower of Joy",,Buckets
1018,Theodan Wells,Male,Northmen,,,"Ser, Commander of the Warrior's Sons",Theodan the True
1019,Theodore Tyrell,Male,,,,Ser,
1020,Theomar Smallwood,Male,,,,Lord of Acorn Hall,
1021,Theomore Harlaw,Male,,,,"Lord of the Ten Towers, Lord Harlaw of Harlaw, Harlaw of Harlaw",
1022,Theon Greyjoy,Male,Ironborn,"In 278 AC or 279 AC, at Pyke",,"Prince of Winterfell, Captain of Sea Bitch, Lord of the Iron Islands (by law of the green lands)","Prince of Fools, Theon Turncloak, Reek, Theon Kinslayer"
1023,Theon Stark,Male,Northmen,,,King of Winter,The Hungry Wolf
1024,Thoren Smallwood,Male,,,"In 299 AC, at Fist of the First Men",First Ranger (self-styled),
1025,Tion Frey,Male,,In or between 279 AC and 284 AC,"In 299 AC, at Riverrun",,
1026,Tion Lannister,Male,,In or between 211 AC and 219 AC,"In 236 AC, at the Wendwater",Ser,
1027,Titus Peake,Male,,,,Lord of Starpike,
1028,Tom Costayne,Male,,,,Ser,Long Tom Costayne
1029,Tommen Baratheon,Male,,291 AC,,"King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms",The Boy King
1030,Tommen Costayne,Male,,,,Lord of the Three Towers,
1031,Torren Liddle,Male,Northern mountain clans,,,"The Liddle, Lord Liddle",
1032,Torrence Teague,Male,Rivermen,,,"King of the Trident, Lord",
1033,Torrhen Karstark,Male,Northmen,At Karhold,"In 298 AC, at the Whispering Wood",,Torr
1034,Torrhen Stark,Male,Northmen,,,"King in the North (former), Lord of Winterfell, Warden of the North",The King Who Knelt
1035,Trebor Jordayne,Male,,,,Lord of the Tor,
1036,Tremond Gargalen,Male,Dornish,,,Lord of Salt Shore,
1037,Tristan Mudd,Male,,,,Lord Commander of the Night's Watch,
1038,Tristan Ryger,Male,,,,,
1039,Tristifer Botley,Male,Ironborn,At Lordsport,,Heir to Lordsport,Tris
1040,Tristifer IV Mudd,Male,,,,King of the Rivers and the Hills,The Hammer of Justice
1041,Tristifer V,Male,,,,King of the Rivers and the Hills,Tristifer the Last
1042,Triston Sunderland,Male,,,,Lord of the Three Sisters,
1043,Trystane Martell,Male,Dornish,In 287 AC,,Prince,
1044,Tya Lannister,Female,,,,,
1045,Tyana Wylde,Female,,,,,
1046,Tybolt Crakehall,Male,,,,Ser,
1047,Tybolt Hetherspoon,Male,,,,Ser,
1048,Tybolt Lannister,Male,Westerman,,In 212 AC,"Ser, Lord of Casterly Rock, Shield of Lannisport, Warden of the West",
1049,Tygett Lannister,Male,,In 250 AC,In or after 285 AC,Ser,Tyg
1050,Tyland Lannister,Male,,,In 133 AC,"Ser, Master of ships, Master of coin, Hand of the King",
1051,Tyrek Lannister,Male,,In 286 AC,"In 299 AC (allegedly), at King's Landing",,'Wet Nurse'
1052,Tyrion Lannister,Male,,"In 273 AC, at Casterly Rock",,"Acting Hand of the King (former), Master of Coin (former)","The Imp, Halfman, The boyman, Giant of Lannister, Lord Tywin's Doom, Lord Tywin's Bane, Yollo, Hugor Hill, No-Nose, Freak, Dwarf"
1053,Tysane Frey,Female,,In 292 AC,,,
1054,Tyta Frey,Female,,In 269 AC or 270 AC,,,Tyta the Maid
1055,Tytos Brax,Male,,,,"Ser, Lord of Hornvale",
1056,Tytos Frey,Male,,In or between 261 AC and 272 AC,"In 299 AC, at the Twins",Ser,
1057,Tytos Lannister,Male,,In 220 AC,"In 267 AC, at Casterly Rock","Lord of Casterly Rock, Shield of Lannisport, Warden of the West","The Laughing Lion, The Toothless Lion"
1058,Tywin Frey,Male,,In 287 AC or 288 AC,,Ser,Ty
1059,Tywin Frey,Male,,In 299 AC or 300 AC,,,
1060,Ulrick Dayne,Male,Dornish,,,"Ser, Sword of the Morning",
1061,Ulwyck Uller,Male,,,,Ser,
1062,Urrigon Greyjoy,Male,Ironborn,In 268 AC or 269 AC,At Pyke,,Urri
